	Price	Baths	Land size	Beds	House size	Seller_type	town	district
0	5400000	1	50.0	3	1600.0	Member	 Matara City	  Matara
1	16800000	3	8.0	3	1480.0	Premium-Member	 Athurugiriya	  Colombo
2	20000000	2	20.0	3	2800.0	Member	 Kelaniya	  Gampaha
3	187000000	5	22.0	5	4000.0	Premium-Member	 Colombo 6	  Colombo
4	1300000	1	6.3	2	900.0	Member	 Dehiwala	  Colombo
5	55000000	4	11.0	4	3300.0	Premium-Member	 Talawatugoda	  Colombo
6	45000000	4	10.0	4	4100.0	Member	 Kandy City	  Kandy
7	16700000	3	9.0	3	1400.0	Member	 Piliyandala	  Colombo
8	50000000	4	10.0	4	4000.0	Premium-Member	 Talawatugoda	  Colombo
9	16000000	1	3000.0	3	2000.0	Premium-Member	 Kadawatha	  Gampaha
10	19500000	2	10.0	4	5000.0	Premium-Member	 Gampaha City	  Gampaha
11	11500000	1	9.85	3	1800.0	Premium-Member	 Katugastota	  Kandy
12	26500000	3	10.5	4	3100.0	Premium-Member	 Negombo	  Gampaha
13	19000000	2	11.4	4	1900.0	Premium-Member	 Malabe	  Colombo
14	11000000	1	80.0	3	1100.0	Member	 Jaffna City	  Jaffna
15	16500000	2	7.5	3	1250.0	Premium-Member	 Malabe	  Colombo
16	6500000	1	3.0	2	950.0	Premium-Member	 Rajagiriya	  Colombo
18	55000000	5	11.0	4	3000.0	Premium-Member	 Battaramulla	  Colombo
19	50000000	3	20.5	4	2900.0	Premium-Member	 Battaramulla	  Colombo
20	13500000	2	15.0	3	1400.0	Member	 Moratuwa	  Colombo
21	24500000	2	7.42	4	2900.0	Member	 Moratuwa	  Colombo
22	32500000	2	21.5	4	2880.0	Member	 Piliyandala	  Colombo
23	27000000	5	11.2	9	3085.0	Premium-Member	 Nugegoda	  Colombo
24	32500000	4	7.5	5	2042.0	Premium-Member	 Dehiwala	  Colombo
25	33000000	3	8.0	4	3200.0	Member	 Kottawa	  Colombo
26	28500000	3	10.2	5	2800.0	Premium-Member	 Homagama	  Colombo
27	17000000	3	10.3	5	2600.0	Premium-Member	 Minuwangoda	  Gampaha
28	31000000	4	12.5	4	2882.0	Member	 Negombo	  Gampaha
29	4500000	1	150.0	3	750.0	Member	 Elpitiya	  Galle
30	14800000	1	6.8	3	1800.0	Premium-Member	 Malabe	  Colombo
31	27000000	4	7.0	4	2700.0	Member	 Kottawa	  Colombo
33	39500000	4	12.0	4	4200.0	Premium-Member	 Battaramulla	  Colombo
34	32500000	6	11.0	8	4000.0	Premium-Member	 Karapitiya	  Galle
35	35000000	5	10.0	6	2000.0	Member	 Dehiwala	  Colombo
36	65000000	5	27.5	6	5000.0	Premium-Member	 Talawatugoda	  Colombo
37	36440000	2	9.11	4	1650.0	Premium-Member	 Colombo 9	  Colombo
38	40000000	4	12.1	6	3000.0	Premium-Member	 Ratmalana	  Colombo
39	49500000	4	10.0	4	4000.0	Premium-Member	 Talawatugoda	  Colombo
40	25500000	3	6.8	4	2500.0	Premium-Member	 Piliyandala	  Colombo
41	29500000	4	10.0	7	5000.0	Premium-Member	 Kandy City	  Kandy
42	85000000	5	15.5	5	3200.0	Premium-Member	 Dehiwala	  Colombo
43	28000000	4	10.0	4	2800.0	Premium-Member	 Athurugiriya	  Colombo
44	47000000	3	14.0	3	2800.0	Premium-Member	 Nugegoda	  Colombo
45	8400000	1	15.0	3	3000.0	Member	 Kalutara City	  Kalutara
46	75000000	2	10.4	3	5400.0	Premium-Member	 Boralesgamuwa	  Colombo
47	18500000	1	1.5	2	600.0	Premium-Member	 Kandy City	  Kandy
48	29500000	4	13.0	6	3800.0	Premium-Member	 Kottawa	  Colombo
49	65000000	7	26.0	8	6000.0	Premium-Member	 Moratuwa	  Colombo
50	39000000	5	13.98	5	4300.0	Premium-Member	 Piliyandala	  Colombo
51	25000000	3	10.0	3	2200.0	Premium-Member	 Athurugiriya	  Colombo
52	20500000	3	6.5	3	2000.0	Premium-Member	 Athurugiriya	  Colombo
53	14500000	3	6.0	3	1200.0	Premium-Member	 Athurugiriya	  Colombo
54	21200000	3	6.25	4	2290.0	Premium-Member	 Battaramulla	  Colombo
55	17800000	3	6.5	3	1800.0	Premium-Member	 Piliyandala	  Colombo
56	16000000	1	20.0	5	4000.0	Premium-Member	 Baddegama	  Galle
57	19800000	2	8.0	4	1800.0	Premium-Member	 Kotte	  Colombo
58	25500000	3	13.5	5	2089.0	Member	 Kandana	  Gampaha
59	27500000	4	11.5	4	2800.0	Premium-Member	 Malabe	  Colombo
60	36000000	4	10.0	4	3600.0	Premium-Member	 Malabe	  Colombo
61	3900000	1	13.0	2	600.0	Premium-Member	 Homagama	  Colombo
62	25000000	2	23.0	3	2200.0	Premium-Member	 Piliyandala	  Colombo
63	7500000	1	10.3	3	1800.0	Member	 Matara City	  Matara
64	24800000	3	6.5	4	2800.0	Premium-Member	 Piliyandala	  Colombo
65	34000000	4	8.5	4	3500.0	Premium-Member	 Piliyandala	  Colombo
66	15000000	2	13.8	3	2500.0	Member	 Kurunegala City	  Kurunegala
67	70000000	2	20.0	4	4900.0	Premium-Member	 Kadawatha	  Gampaha
68	4000000	1	90.0	3	3500.0	Premium-Member	 Nittambuwa	  Gampaha
69	89000000	1	15.0	3	1500.0	Premium-Member	 Homagama	  Colombo
70	12500000	2	10.0	3	1540.0	Premium-Member	 Homagama	  Colombo
71	19000000	3	11.4	4	1900.0	Premium-Member	 Malabe	  Colombo
72	79500000	1	7.0	3	1100.0	Premium-Member	 Homagama	  Colombo
73	12000000	1	20.0	3	1650.0	Premium-Member	 Homagama	  Colombo
74	14200000	2	7.86	3	1100.0	Premium-Member	 Malabe	  Colombo
75	7500000	1	11.6	3	3158.0	Member	 Homagama	  Colombo
76	5500000	1	15.0	2	4000.0	Premium-Member	 Nittambuwa	  Gampaha
77	36400000	1	280.0	3	3500.0	Premium-Member	 Nittambuwa	  Gampaha
78	24500000	3	15.0	6	3500.0	Member	 Kurunegala City	  Kurunegala
79	49000000	2	31.0	4	1900.0	Premium-Member	 Ragama	  Gampaha
80	16800000	2	12.05	4	2750.0	Premium-Member	 Ja-Ela	  Gampaha
81	21000000	3	10.6	3	1795.0	Premium-Member	 Piliyandala	  Colombo
82	28000000	5	112.0	5	2900.0	Member	 Chilaw	  Puttalam
83	16500000	2	7.4	3	1300.0	Member	 Kottawa	  Colombo
84	16000000	2	22.0	3	2500.0	Member	 Gampaha City	  Gampaha
85	65000000	3	20.0	5	3000.0	Premium-Member	 Homagama	  Colombo
86	12000000	1	10.5	3	1300.0	Premium-Member	 Homagama	  Colombo
87	7800000	1	11.5	2	1200.0	Member	 Padukka	  Colombo
88	36000000	4	8.5	4	2900.0	Premium-Member	 Piliyandala	  Colombo
89	27500000	5	7.5	5	2300.0	Premium-Member	 Piliyandala	  Colombo
90	13000000	2	15.0	4	5000.0	Premium-Member	 Nittambuwa	  Gampaha
91	35500000	5	8.0	4	4500.0	Premium-Member	 Malabe	  Colombo
92	22500000	3	10.0	5	3514.0	Premium-Member	 Piliyandala	  Colombo
93	5750000	1	7.0	2	3500.0	Premium-Member	 Kadawatha	  Gampaha
94	11000000	1	7.5	2	1200.0	Premium-Member	 Gampaha City	  Gampaha
95	7500000	1	20.0	3	850.0	Member	 Horana	  Kalutara
96	70000000	4	20.0	5	5450.0	Member	 Nugegoda	  Colombo
97	24500000	3	10.0	5	3000.0	Premium-Member	 Homagama	  Colombo
98	20500000	3	6.5	3	1900.0	Premium-Member	 Homagama	  Colombo
